PDF Bestandsnaam,Domein,Vraag
2025I.txt,Afweer,lees verder Uit het onderzoek blijkt dat de milt bij de Baja u mannen gemid
2025I.txt,Onbekend,deld groter is dan bij de Saluan mannen
2025I.txt,Afweer,"Uit dit onderzoek is niet af te leiden of een grotere milt erfelijk is, of dat"
2025I.txt,Afweer,"Om dat te bepalen, moet in een vervolgonderzoek de miltgrootte van twee andere groepen met elkaar vergeleken worden"
2025I.txt,Afweer,Noteer twee groepen waarvan de milt grootte met elkaar moet worden vergeleken om hier duideli jkheid over te krijgen
2025I.txt,Onbekend,Beschrijf h t resultaat van het ve
2025I.txt,Afweer,erzoek waaruit blijkt dat een grotere milt erfelijk is
2025I.txt,Waarnemen,De grootte van de milt wordt alleen bepaald door het gen op chromosoom
2025I.txt,Onbekend,"Schrijf de nummers , en onder elkaar"
2025I.txt,Onbekend,Noteer erachter of de bijbehorende uitspraak of
2025I.txt,Bloedsomloop,een juiste conclusie is op basis van de gegevens in het informatiekader
2025I.txt,Onbekend,t gevolg is v
2025I.txt,Afweer,Beschrijf hoe evolutie tot een grotere milt k an hebben geleid
2025I.txt,Waarnemen,lees verder Insecticiden worden in de landbouw gebruikt om insecten te doden die voedselgewassen aantasten
2025I.txt,Waarnemen,Bepaal de insecticiden \ zoals het verboden middel DDT\ zijn een grote bedreiging voor de gezondheid van toppredatoren zoals de zeeare
2025I.txt,Waarnemen,gevoelig zijn voor het gif als zeearenden
2025I.txt,Onbekend,Leg uit dat de zeearend ernstige gezondheidssc
2025I.txt,Onbekend,lees verder De Bajau De Bajau \ afbeelding \ is een volk van zeenomaden in Indonesi
2025I.txt,Onbekend,Ze zijn in staat om lang onder water te blijv
2025I.txt,Onbekend,afbeelding Veel Bajau mannen vissen met behulp van een harpoen
2025I.txt,Onbekend,Ze duiken hierbij zonder duikuitrusting tot wel meter diep en kunnen tien minuten ond
2025I.txt,Onbekend,er water blijv
2025I.txt,Ademhaling,"Om lang zijn adem in te kunnen houden, kan een duiker vooraf een aantal keer diep in en uitademen"
2025I.txt,Onbekend,Dit vergr oot de hoeveelheid zuurs
2025I.txt,Waarnemen,"De duiker kan hierdoor echter buiten bewus tzijn raken voordat de ademprikkel ontstaat, en kan zo verdrinken"
2025I.txt,Ademhaling,Door het inhouden van de adem wordt het restvolume van de longen groter
2025I.txt,Bloedsomloop,"De duiker raakt buiten bewustzijn, doordat de O concentratie in zijn bloed te laag wordt"
2025I.txt,Onbekend,Noteer erachter of de bijbehorende uitspraak Uit onderzoek bij zee
2025I.txt,Afweer,honden is bekend dat er een relatie is tussen de grootte van de milt en de maximale duikt ijd
2025I.txt,Afweer,stoftekort kan de milt samentrekken om extra rode bl
2025I.txt,Zenuwstelsel en hormonen,"Wetenschappers denken dat het sam entrekken van de milt aan het begin van een duik, wordt veroorzaakt door signalen van het deel van het zenuwstelsel dat het lichaam gereedmaakt voor actie"
2025I.txt,Zenuwstelsel en hormonen,Welk deel van het zenuwstelsel is dat
2025I.txt,Zenuwstelsel en hormonen,elsel het parasympathisch zenuwstelsel het orthosympathisch zenuwstelsel lees verder Als er jonge zeearenden uit het ei zijn gek
2025I.txt,Erfelijkheid,Zo kunnen onderzoekers inzicht krijgen in paarvorming en migratie van deze vogels
2025I.txt,Waarnemen,"bijvoorbeeld ook paartjes te vormen met Duitse zeearenden, en ook met niet geringde zeearenden waarvan de herkomst onbekend is"
2025I.txt,Waarnemen,Voor het voortbestaan van een popul atie zeearenden is paarvorming met zeearenden uit andere gebied
2025I.txt,Onbekend,Leg uit waarom het belangrijk is
2025I.txt,Onbekend,dat er paarvorming is met individuen u
2025I.txt,Erfelijkheid,De broedpogingen van de z eearend zijn niet altijd s
2025I.txt,Waarnemen,In andere gevallen zijn abiotische factoren verantwoordelijk v oor een lager broedsucc
2025I.txt,Waarnemen,Licht met een voorbeeld toe hoe een abiotische factor een lager
2025I.txt,Erfelijkheid,Bij het ringen wordt het geslacht van de jonge zeear
2025I.txt,Onbekend,end bepaald
2025I.txt,Onbekend,ganen zijn niet uiterlijk zic
2025I.txt,Onbekend,Er zijn wel and
2025I.txt,Onbekend,Er zijn twee methodes die eenvoudig in
2025I.txt,Onbekend,veld gebruikt kunnen worden
2025I.txt,Beweging,Methode : onderzoekers meten de breedte en dikte van een bepaald bot in de poot
2025I.txt,Onbekend,Deze twee gegevens worden met elkaar vermenigvuldigd
2025I.txt,Onbekend,Methode : onderzoekers bepalen het gewicht en de vleugelle
2025I.txt,Onbekend,Bij het testen van deze methodes moest ter controle ook het geslacht van elke gemeten zeearend met zekerhei d worden vastgesteld
2025I.txt,Uitscheiding,Noteer welk onderzoek werd gedaan aan het huidmonster om het geslacht van de zeearend te bepalen
2025I.txt,Onbekend,"lees verder De antischimmelmedicijnen die Ja sper kreeg, waren azolen"
2025I.txt,Voeding en vertering,enzym is nodig voor
2025I.txt,Onbekend,Ergosterol is een bestanddeel van de celmembraan van schimmels
2025I.txt,Waarnemen,"Noteer de volgende woorden op de juiste plaats in het schema: azolen, ergosterol, lanosteroldemethylase"
2025I.txt,Waarnemen,Noteer in de cirkels een voor een stimuler ende werking of voor een remmende werking
2025I.txt,Voeding en vertering,De schimmel in de longen en hersenen v an Jasper bleek resistent tegen azolen door een puntmutatie in het gen voor het enzym lanosteroldemethylase
2025I.txt,Waarnemen,Het codon voor het aminozuur leucine is gewijz
2025I.txt,Waarnemen,gd in een codon voor het aminozuur hist idine
2025I.txt,Voeding en vertering,"Daardoor heeft het enzym een iets andere vorm, met als gevolg dat azolen dit enzym niet meer kunnen remmen"
2025I.txt,Voeding en vertering,Ondanks de andere vorm is het enzym nog wel werkzaam
2025I.txt,Onbekend,e is gewijz
2025I.txt,Waarnemen,"gd, waardoor het codon voor leucine in een codon voor histidine is veranderd"
2025I.txt,Erfelijkheid,de eerste base de tweede base de derde base Resistentie van een schimmel t egen een medicijn kan ontstaan na herhaald gebruik van dit medicijn
2025I.txt,Waarnemen,pati nten komt de resistente Aspergillus fumigatus met dezelfde puntmutatie voor
2025I.txt,Onbekend,De overdracht van sporen tussen mensen is niet mogelijk
2025I.txt,Stofwisseling van de cel,Artsen vermoeden daarom dat de pati nten de ziekte oplopen door het inademen van resistente schimmelsporen uit het milieu
2025I.txt,Onbekend,Verklaar dat het erg onwaarsch
2025I.txt,Onbekend,Waarschijnlijk is in zo n composthoop de resistente Aspergillus fumigatus ontstaan
2025I.txt,Waarnemen,Tot welke groep behoort in de kringlo
2025I.txt,Onbekend,En welke omz
2025I.txt,Waarnemen,tting in de kringloo p van stoffen wordt gedaan door groep
2025I.txt,Onbekend,he stoffen organische stoffen
2025I.txt,Onbekend,en organische stoffen anorganische stoffen reducenten
2025I.txt,Voeding en vertering,he stoffen organische stoffen reducenten organische stoffen anorganische stoffen scheidt amylase uit
2025I.txt,Voeding en vertering,Amylase is een enzym dat bepaalde moleculen uit het plantaardig afval afbreekt tot voedingsstoffen die door de schimmel kunnen worden opgenomen
2025I.txt,Voeding en vertering,Noteer een molecuul dat aanwez ig is in plantaardig afval door amylase wordt afgebroken
2025I.txt,Waarnemen,"Jasper kreeg andere medicijnen t oegediend die wel goed werkten tegen de schimmel, waardoor hij herstel de"
2025I.txt,Onbekend,n heeft Jasper onder andere een grotere kans op een kaliumtekort
2025I.txt,Uitscheiding,Welk gedeelte van een niereenheid zal zijn aangeta
2025I.txt,Waarnemen,t waardoor een kaliumtekort kan optreden
2025I.txt,Onbekend,Elk bolletje in deze diagrammen is een bepaling bij n zeearend
2025I.txt,Waarnemen,rammen blijkt welke met hode het meest geschikt is voor geslachtsbepaling
2025I.txt,Onbekend,Is methode of is methode het m eest geschikt
2025I.txt,Waarnemen,Verklaar je antwoord
2025I.txt,Ecologie,De populatie is gegroeid tot ruim dieren
2025I.txt,Onbekend,"en, zodat ze van de jonge takken kunnen eten"
2025I.txt,Waarnemen,"Zeearenden gebruiken zwarte populieren om hun nest in te maken, omdat deze boomsoort e takken heeft"
2025I.txt,Onbekend,nden zijn namelijk be
2025I.txt,Waarnemen,Van der Es vi ndt dat in dit geval de keuze voor de zeearend het best is
2025I.txt,Onbekend,Noteer een biolo
2025I.txt,Onbekend,argument dat zijn standpunt ondersteunt
2025I.txt,Onbekend,De relatie tussen de zwarte populier en de zeearend kan commensalism
2025I.txt,Erfelijkheid,genoemd worden
2025I.txt,Waarnemen,Geef een argument v oor deze stellin
2025I.txt,Voeding en vertering,ami smaakstoffen in deze voedingsmiddelen elkaar versterken
2025I.txt,Bloedsomloop,Umami \ hartig\ is de vijfde smaak die mensen kunnen onders
2025I.txt,Waarnemen,Elk van de vijf smaken in voedsel ver oorzaakt een reactie in specifieke smaakzintuigcellen op de tong
2025I.txt,Waarnemen,Reacties in de smaakzintuigce
2025I.txt,Waarnemen,leiden ertoe dat de smaak uiteinde
2025I.txt,Zenuwstelsel en hormonen,lijk wordt waargenomen in de hersenen
2025I.txt,Zenuwstelsel en hormonen,In welk deel van de hersenen wordt de smaak waargenomen
2025I.txt,Zenuwstelsel en hormonen,in de hersenstam in de kleine hersenen in de motorische schors in de sens
